company_id,industry,country,year,ai_adoption_level,ai_investment_usd,automation_rate,cost_savings,revenue_impact,productivity_gain,employee_ai_training_hours,ai_maturity_score,deployment_count
CORP-03463,Education,Brazil,2020,0.2167,309788,0.173,66665,21931,0.1488,25.7,4.21,14
CORP-04366,Manufacturing,Canada,2032,0.7546,6196021,0.6702,4160096,1698887,0.635,116.9,8.44,45
CORP-03254,Technology,United States,2031,0.7217,9480945,0.5783,6771620,12872692,0.4927,122.1,8.63,42
CORP-06459,Financial Services,United States,2020,0.2479,5712518,0.2244,1050540,1372827,0.1535,44.4,4.64,20
CORP-04905,Technology,United States,2026,0.423,5495841,0.3473,2006404,2036229,0.3929,56.3,5.79,23
CORP-07480,Financial Services,United States,2016,0.3472,7783831,0.3179,1678961,3609300,0.2946,42.1,5.59,18
CORP-01117,Manufacturing,Japan,2018,0.4581,1643156,0.4262,530391,324852,0.382,63.8,4.88,15
CORP-06236,Financial Services,United States,2023,0.734,8408188,0.6377,2173638,5072491,0.5567,119.4,7.23,26
CORP-07719,Technology,United States,2035,0.7427,10814216,0.5702,3654630,10333464,0.5491,113.8,8.95,50
CORP-04263,Financial Services,Canada,2027,0.4695,3295853,0.3862,1328693,1467882,0.309,64.2,6.24,28
CORP-06979,Manufacturing,India,2033,0.9116,4659414,0.8965,1867811,2654967,0.7601,116.2,9.06,44
CORP-00947,Financial Services,United States,2022,0.2994,7469365,0.2653,1891340,1458043,0.2159,42.5,4.69,18
CORP-04861,Education,Germany,2016,0.1648,252967,0.074,35615,41301,0.0895,18.3,3.57,11
CORP-07403,Technology,United States,2018,0.1666,3482922,0.1232,1371822,686476,0.1659,32.0,3.56,14
CORP-07178,Telecom,Canada,2032,0.5802,4814786,0.473,1863898,2374988,0.4329,75.3,7.76,37
CORP-00335,Telecom,India,2034,1.0,4183541,0.7215,1574083,2653697,0.6623,127.5,9.84,47
CORP-05666,Agriculture,United States,2026,0.6908,1902571,0.6485,830135,620817,0.5079,134.7,7.71,32
CORP-00085,Logistics,United States,2018,0.01,700292,0.0,103911,36827,-0.0495,11.3,2.93,11
CORP-06340,Retail,Canada,2023,0.6867,4817046,0.506,1553209,1085637,0.5014,104.6,6.47,25
CORP-00595,Telecom,United States,2017,0.0503,2062167,0.0655,563214,667822,0.0969,11.8,3.08,10
CORP-00506,Manufacturing,Australia,2020,0.1672,3547239,0.1803,629648,527587,0.1568,39.3,3.87,14
CORP-06276,Financial Services,China,2018,0.3041,4186653,0.2934,755121,1460344,0.1998,46.3,4.43,13
CORP-05555,Education,China,2017,0.2097,541155,0.1158,48246,57396,0.1563,45.2,4.07,15
CORP-01923,Logistics,United Kingdom,2034,0.6897,3471878,0.6667,1335972,1387214,0.5802,104.3,8.65,47
CORP-00295,Education,China,2025,0.582,1322681,0.365,212192,256794,0.3463,91.5,6.49,26
CORP-06725,Logistics,China,2030,0.7355,3863750,0.7113,2412585,1297054,0.6662,73.9,7.48,33
CORP-05385,Telecom,China,2024,0.5617,3696379,0.4588,2542062,1214078,0.4063,76.5,5.78,22
CORP-04676,Energy,Australia,2034,1.0,11149023,0.9291,5873541,4446274,0.7335,123.1,9.79,49
CORP-04923,Logistics,Japan,2027,0.7695,5466359,0.7391,3629758,5060598,0.6249,108.4,7.77,35
CORP-07025,Healthcare,United States,2028,0.5422,4480784,0.3759,1594652,823918,0.4038,86.7,6.71,34
CORP-03387,Agriculture,United Kingdom,2026,0.8681,2514241,0.7635,666750,1050675,0.6297,147.6,8.59,37
CORP-00526,Logistics,China,2029,0.5385,6329191,0.4256,2912496,2034650,0.4212,73.0,6.57,28
CORP-01783,Telecom,China,2033,0.707,5063933,0.5616,2338048,6333701,0.5167,95.6,8.04,40
CORP-06561,Retail,India,2026,0.3957,861679,0.2832,171717,398008,0.28,31.8,5.8,25
CORP-02321,Technology,India,2030,0.9182,8238641,0.7827,7893263,8282542,0.7642,124.6,7.88,36
CORP-01427,Manufacturing,Brazil,2022,0.4956,4006540,0.4611,1535432,743059,0.373,58.8,5.87,21
CORP-02750,Agriculture,China,2028,0.5851,875126,0.4668,293741,249838,0.4019,83.5,7.22,30
CORP-01203,Healthcare,Germany,2020,0.4601,2870300,0.3141,837091,1568674,0.2843,74.4,5.8,21
CORP-05116,Technology,France,2025,0.5241,4209995,0.4372,3265588,2994575,0.3878,86.5,6.18,23
CORP-01958,Manufacturing,Canada,2029,0.6516,2646182,0.5877,879933,1083136,0.4778,85.2,7.08,32
CORP-07595,Logistics,United States,2029,0.663,4308855,0.5685,1252231,1950465,0.4906,99.0,7.46,33
CORP-06286,Logistics,United Kingdom,2023,0.3755,3987466,0.3267,1180274,715573,0.2382,65.4,6.05,24
CORP-01529,Logistics,Sweden,2024,0.2162,1473124,0.2029,378994,481020,0.1293,37.2,3.82,16
CORP-00965,Retail,United States,2031,0.8837,5448491,0.5925,2086278,1848796,0.5827,143.0,9.01,42
CORP-05848,Financial Services,United States,2020,0.5135,7613630,0.4789,3366309,3553754,0.454,84.6,4.67,18
CORP-01557,Technology,United States,2032,0.8234,12335624,0.6146,8229255,4341137,0.5559,137.7,8.22,42
CORP-06530,Manufacturing,Canada,2015,0.1205,2448684,0.1461,595878,573189,0.1503,22.2,3.22,8
CORP-05557,Logistics,Canada,2022,0.552,3655090,0.5053,851542,981750,0.4472,66.5,6.29,24
CORP-05651,Manufacturing,Germany,2028,0.8787,8476036,0.9029,2543835,4334239,0.7246,124.4,7.64,33
CORP-00871,Retail,United States,2032,0.511,2630274,0.336,849883,1099079,0.3038,88.2,6.59,32
CORP-00456,Healthcare,Germany,2032,0.8057,8943983,0.5394,3966464,5908558,0.5213,117.2,8.47,43
CORP-02048,Healthcare,India,2017,0.2191,1977612,0.1146,587540,321049,0.1775,36.4,3.42,11
CORP-05902,Agriculture,China,2025,0.513,2513398,0.4589,710533,1395774,0.441,72.9,6.21,27
CORP-01168,Manufacturing,United States,2017,0.1496,1924585,0.1174,451339,444726,0.1316,32.0,4.55,13
CORP-02169,Logistics,Germany,2017,0.4945,2346506,0.5119,920699,-172160,0.4135,81.6,4.79,15
CORP-06149,Manufacturing,China,2019,0.3712,1992792,0.3451,1155973,329118,0.3293,38.9,4.89,16
CORP-03143,Manufacturing,Australia,2032,0.697,3170464,0.6995,1557216,912072,0.5352,97.2,8.36,41
CORP-04088,Financial Services,Germany,2027,0.6198,13546556,0.4767,7070781,6447906,0.4019,88.0,6.97,27
CORP-05607,Manufacturing,United Kingdom,2025,0.5079,3322161,0.529,1068632,759832,0.4513,85.4,6.04,22
CORP-05536,Logistics,China,2031,0.6898,2637287,0.6595,925118,802523,0.6219,91.4,7.09,34
CORP-03058,Healthcare,Australia,2033,0.881,7189034,0.6377,2019639,1974720,0.5504,121.4,8.45,40
CORP-00215,Manufacturing,United States,2019,0.3433,3085191,0.3448,1209303,662863,0.2838,54.6,5.38,17
CORP-04863,Manufacturing,United States,2023,0.4063,2582240,0.4428,687734,803085,0.2949,75.3,6.1,21
CORP-03552,Retail,Germany,2031,0.9723,5057217,0.7045,2918569,4707962,0.6537,139.1,8.67,41
CORP-03506,Logistics,Singapore,2029,0.6333,3547973,0.7046,1188952,1821555,0.5895,114.6,7.31,36
CORP-07247,Financial Services,Germany,2019,0.3196,4850519,0.2729,1538841,2532713,0.244,48.1,5.15,18
CORP-02450,Healthcare,Germany,2032,0.6419,4605638,0.4326,743098,1184659,0.4015,98.5,7.9,39
CORP-06745,Logistics,South Korea,2033,0.9026,5845976,0.7708,2018305,3079231,0.6562,118.8,8.86,44
CORP-06581,Retail,South Korea,2019,0.0965,766178,0.0819,164174,96598,0.0588,12.0,4.19,14
CORP-02986,Technology,United States,2032,0.7464,7047530,0.5699,2519219,4199538,0.5442,114.4,8.29,42
CORP-05316,Retail,France,2020,0.1801,1309086,0.1582,273242,-174681,0.0966,21.7,4.15,13
CORP-01171,Retail,Canada,2031,0.531,2201735,0.3546,998689,-354053,0.3424,80.0,7.01,33
CORP-01996,Energy,United States,2016,0.01,2371252,0.1541,554283,147941,0.1032,1.0,2.82,10
CORP-01171,Retail,Brazil,2018,0.3029,1117999,0.277,309690,520148,0.1944,23.9,2.91,8
CORP-04087,Education,China,2034,0.6581,1400937,0.3778,379434,785596,0.3849,90.3,8.49,41
CORP-05587,Technology,United States,2022,0.4506,7550361,0.2999,2646907,6671279,0.2384,68.1,5.6,21
CORP-06709,Agriculture,Singapore,2023,0.3008,970629,0.2396,148181,-20683,0.1886,47.9,4.65,17
CORP-00083,Healthcare,Germany,2016,0.1432,1921581,0.1174,290895,354251,0.0654,31.6,3.8,9
CORP-05359,Retail,Canada,2032,0.2567,914018,0.2093,224483,282216,0.1946,47.8,6.17,31
CORP-06381,Manufacturing,China,2033,0.5392,4521299,0.5625,1128427,2037077,0.4241,77.7,7.51,37
CORP-01651,Financial Services,India,2028,0.7491,7563488,0.6923,2767972,4822412,0.6354,86.8,7.47,32
CORP-03708,Logistics,United States,2016,0.1017,1576935,0.1293,264773,153295,0.0612,21.7,3.48,11
CORP-01871,Energy,Brazil,2032,1.0,6366335,0.9162,2878615,4127745,0.7851,90.9,8.85,43
CORP-01934,Manufacturing,United States,2030,0.618,5760744,0.6702,1088137,1874669,0.6486,105.5,7.11,32
CORP-05975,Healthcare,India,2029,0.8097,5065795,0.5327,2030190,5284745,0.5305,94.9,8.58,36
CORP-06442,Manufacturing,China,2024,0.8959,12987188,0.8222,3359245,5900874,0.6981,127.6,8.52,31
CORP-04503,Education,United States,2026,0.4869,749453,0.3184,216330,223797,0.3449,94.5,6.24,26
CORP-03520,Telecom,United States,2019,0.367,3103626,0.2308,603066,1803042,0.2634,56.9,5.66,19
CORP-00834,Manufacturing,Japan,2019,0.184,1610965,0.1656,357638,235370,0.2294,21.0,3.77,16
CORP-00690,Telecom,United States,2030,0.6491,6558305,0.4842,2729131,2778914,0.5444,88.4,7.48,32
CORP-02971,Agriculture,United States,2018,0.2987,833126,0.275,203694,140566,0.2441,51.8,4.74,13
CORP-04637,Financial Services,China,2033,0.7891,15288095,0.6462,6505555,6153199,0.566,118.7,8.39,40
CORP-02419,Energy,India,2034,0.7359,9692948,0.6498,4915452,5047815,0.5517,82.1,7.05,36
CORP-04328,Financial Services,Canada,2020,0.3526,7088101,0.2284,1850605,3252583,0.2319,58.2,5.61,17
CORP-02117,Retail,Sweden,2024,0.7428,3459023,0.5584,999750,5694609,0.4828,105.1,6.82,25
CORP-02174,Financial Services,Germany,2034,0.8271,10652583,0.7329,5980600,7114410,0.6109,108.7,9.09,46
CORP-04579,Technology,China,2022,0.5045,6473535,0.4253,5617688,6121636,0.3385,75.7,5.88,20
CORP-04943,Financial Services,United Kingdom,2019,0.5523,5116529,0.4852,1754556,2233422,0.3772,75.1,5.42,17
CORP-05823,Manufacturing,Germany,2030,0.5693,3632909,0.5867,1218264,848933,0.4659,82.7,6.86,30
CORP-03901,Logistics,China,2022,0.166,1059538,0.1882,247164,347098,0.1309,31.7,3.8,15
CORP-07496,Financial Services,South Korea,2029,0.6151,11720686,0.553,3715503,2709122,0.4826,92.8,7.35,32
CORP-01348,Financial Services,China,2028,0.7621,8572439,0.7046,2912659,2588187,0.5686,102.8,8.11,35
CORP-01035,Telecom,India,2016,0.2984,3264788,0.1659,595636,1505065,0.1542,23.1,4.06,11
CORP-05010,Healthcare,Netherlands,2021,0.5487,2817406,0.3571,850177,906321,0.412,68.1,6.56,21
CORP-05694,Healthcare,Japan,2029,0.4892,2440254,0.351,496522,985554,0.2964,75.1,6.09,27
CORP-03702,Agriculture,United States,2022,0.1634,573679,0.1569,72609,66945,0.101,48.4,4.36,18
CORP-07217,Telecom,Japan,2031,0.6485,3680522,0.5273,867354,3576056,0.4967,100.5,7.41,36
CORP-01187,Technology,South Korea,2023,0.2762,2121904,0.1541,710851,1356559,0.1839,30.6,5.56,20
CORP-06698,Healthcare,Australia,2028,0.9418,6880339,0.5715,1896776,5638779,0.6715,121.7,8.02,35
CORP-05741,Education,United Kingdom,2023,0.4673,403411,0.2986,83629,132784,0.337,82.6,5.94,21
CORP-04956,Financial Services,United States,2023,0.6054,10723657,0.4978,4884896,6075755,0.4866,105.4,6.89,26
CORP-04570,Financial Services,United States,2026,0.8579,19518220,0.6664,4790582,9348477,0.58,147.9,7.23,28
CORP-04577,Technology,United Kingdom,2026,0.534,7776741,0.4102,2554668,4352332,0.4288,104.9,6.47,26
CORP-05701,Manufacturing,Australia,2034,0.6324,2299746,0.6689,734333,935812,0.4675,80.8,8.08,40
CORP-06090,Energy,Canada,2021,0.5288,4228299,0.4541,1225144,997187,0.4441,88.5,4.9,16
CORP-04415,Logistics,Germany,2033,0.9653,4327597,0.9103,2340488,1678604,0.7911,141.5,9.53,49
CORP-00394,Education,Germany,2026,0.4963,521374,0.2754,75827,172704,0.2327,57.9,6.86,27
CORP-04896,Logistics,United States,2028,0.5344,5523198,0.5689,3698124,2621134,0.433,107.1,7.11,31
CORP-06559,Technology,Singapore,2025,0.4696,4869601,0.3753,3786396,2392072,0.3575,66.8,7.0,28
CORP-06932,Manufacturing,France,2030,0.4794,3206281,0.5109,849330,724593,0.5069,52.5,6.09,26
CORP-07393,Education,China,2029,0.8071,1449949,0.4305,345528,524384,0.5383,104.5,8.3,36
CORP-07966,Financial Services,United States,2027,0.7668,10520358,0.59,4097493,5540234,0.4748,120.8,7.27,30
CORP-00091,Technology,China,2030,0.5036,9123846,0.4854,3975505,5811570,0.4357,56.1,6.68,32
CORP-04541,Telecom,Australia,2015,0.01,883366,0.0804,166937,46221,0.0417,2.8,2.55,8
CORP-06438,Healthcare,China,2035,0.9733,12492531,0.6141,4178569,9796734,0.6032,144.3,9.61,51
CORP-03222,Technology,India,2035,0.8775,7926723,0.6272,6827494,9223516,0.557,111.2,8.86,46
CORP-00390,Telecom,Singapore,2032,0.9684,8860217,0.7923,7660438,5742375,0.7047,166.8,9.36,46
CORP-00607,Education,India,2022,0.1745,332264,0.0919,72693,44904,0.103,20.4,4.2,15
CORP-07055,Manufacturing,Canada,2026,0.6269,3186084,0.6345,1000591,777876,0.5165,97.4,6.43,26
CORP-00895,Telecom,United Kingdom,2021,0.3025,2236542,0.301,496376,742326,0.2649,71.5,4.24,16
CORP-07984,Financial Services,China,2032,0.8161,10983159,0.6835,4834195,12336993,0.6157,112.8,8.87,41
CORP-02156,Healthcare,Japan,2025,0.5188,6052094,0.3071,1763021,1671122,0.314,64.2,6.28,23
CORP-06774,Agriculture,Japan,2024,0.3129,917489,0.3064,193210,161070,0.2926,24.9,4.09,14
CORP-00713,Education,Canada,2034,0.7833,1436014,0.3987,586916,599387,0.5078,124.4,8.78,43
CORP-05538,Technology,United States,2020,0.3476,5670211,0.2974,3209019,3485030,0.3023,56.0,5.16,20
CORP-05848,Technology,India,2028,0.7823,4988896,0.5342,3119333,3912652,0.49,115.4,8.44,35
CORP-01162,Manufacturing,China,2019,0.2713,6145822,0.3039,1701926,1335275,0.2363,51.5,4.52,14
CORP-07036,Healthcare,United States,2017,0.3453,2632770,0.2592,743950,577101,0.235,51.8,5.11,17
CORP-00276,Manufacturing,United States,2032,0.7433,6398284,0.7415,2215579,2058135,0.677,135.7,8.64,40
CORP-06410,Financial Services,United States,2020,0.6058,11320936,0.5094,3111351,3809635,0.4307,128.7,5.86,21
CORP-06359,Manufacturing,Sweden,2025,0.7398,6688679,0.7239,2081514,2251283,0.6225,99.0,7.51,32
CORP-02419,Financial Services,United Kingdom,2033,1.0,13927938,0.8304,11161142,12997547,0.7145,161.1,9.16,43
CORP-05717,Manufacturing,Sweden,2018,0.3376,3467905,0.3819,1664091,815685,0.276,42.8,4.22,15
CORP-03089,Logistics,United States,2032,0.6579,5128115,0.6231,2249197,2672007,0.5577,108.6,7.9,39
CORP-05938,Technology,Germany,2024,0.5973,6452549,0.5037,1806931,3247728,0.4607,59.8,6.49,23
CORP-01240,Technology,India,2017,0.1654,2748739,0.0931,707225,868132,-0.0113,12.0,3.45,10
CORP-01737,Telecom,Germany,2022,0.3549,2007082,0.3141,487537,420980,0.2842,55.3,5.03,17
CORP-02607,Energy,Japan,2015,0.2303,2453456,0.2505,336972,589071,0.2236,28.8,3.43,9
CORP-06234,Technology,United States,2020,0.459,8937402,0.3765,4200011,4579369,0.3085,63.5,5.72,20
CORP-02507,Manufacturing,United States,2015,0.2412,3292125,0.2959,632175,776397,0.2091,46.1,4.59,12
CORP-01492,Energy,China,2017,0.3843,7048103,0.3413,2451737,1652591,0.2419,65.4,4.16,12
CORP-05477,Financial Services,United States,2016,0.3383,10022212,0.311,2612747,4149086,0.275,57.3,5.04,13
CORP-06512,Logistics,Australia,2035,0.8647,2510846,0.825,1407492,2291627,0.7358,117.9,9.06,47
CORP-01686,Financial Services,Germany,2019,0.3118,6277217,0.2634,1347677,1670572,0.2512,32.7,5.01,15
CORP-00746,Financial Services,Japan,2033,0.9217,14193626,0.7218,7161027,7900129,0.6861,131.7,9.41,46
CORP-01198,Financial Services,China,2016,0.3267,10340960,0.348,3399174,4057238,0.3105,39.3,3.35,11
CORP-00644,Energy,United States,2033,1.0,11409056,0.9282,11234087,7495940,0.8073,150.9,9.6,46
CORP-05208,Telecom,United States,2022,0.1629,2770417,0.1592,859139,517705,0.1552,51.8,4.22,16
CORP-02503,Manufacturing,Germany,2017,0.5787,2029166,0.5788,848320,481247,0.4828,88.9,4.73,17
CORP-06209,Healthcare,France,2021,0.2789,4017857,0.1515,1052355,1405106,0.1254,41.5,3.82,13
CORP-01592,Manufacturing,China,2018,0.3273,3764379,0.3688,934522,745460,0.2263,45.3,3.58,14
CORP-07983,Financial Services,China,2022,0.2496,4610494,0.2473,1331218,1497534,0.1701,32.5,4.64,20
CORP-03772,Telecom,Japan,2027,0.4891,3879944,0.4199,787380,1243158,0.3314,81.4,6.15,25
CORP-02384,Financial Services,China,2022,0.4502,6065365,0.3974,2081150,3738463,0.4162,59.4,5.38,19
CORP-04830,Agriculture,France,2028,0.5313,1377976,0.4624,264735,427264,0.4398,87.9,6.63,29
CORP-00886,Retail,Singapore,2016,0.2064,1040294,0.1411,301204,322398,0.1044,31.5,4.06,13
CORP-04163,Agriculture,Canada,2018,0.4263,834043,0.3864,124091,178485,0.3964,72.8,5.14,18
CORP-03593,Energy,South Korea,2018,0.3077,4447903,0.2785,887846,1411121,0.3285,48.1,4.15,13
CORP-02190,Manufacturing,India,2018,0.3819,1786222,0.3616,387367,300925,0.2944,54.3,4.37,14
CORP-06299,Technology,China,2021,0.51,5540682,0.4443,4142260,1333813,0.3381,59.3,4.94,16
CORP-00970,Financial Services,United States,2016,0.3336,5155465,0.2611,910506,1548951,0.2459,48.1,4.35,11
CORP-04884,Technology,France,2018,0.3066,3345309,0.2827,1311884,1299831,0.224,39.9,4.23,14
CORP-00335,Healthcare,South Korea,2022,0.5517,4037198,0.3588,1302502,1371881,0.3317,64.2,5.88,21
CORP-02602,Healthcare,United States,2021,0.3891,4493966,0.2691,1947718,2262431,0.2649,64.8,5.85,19
CORP-05973,Agriculture,China,2029,0.7953,1138446,0.6269,576604,-161097,0.4918,114.6,8.5,37
CORP-05147,Financial Services,United States,2015,0.2328,7126687,0.146,1844782,1504861,0.11,37.6,3.87,12
CORP-00187,Logistics,Japan,2030,0.596,3375167,0.5873,1734412,1299842,0.5012,71.7,7.06,31
CORP-04993,Agriculture,Brazil,2017,0.2471,357818,0.2139,50215,44277,0.2141,23.2,3.43,12
CORP-04228,Telecom,United States,2029,0.7261,5939311,0.5607,2278583,3385455,0.589,118.5,7.86,37
CORP-00442,Technology,China,2023,0.4482,12241438,0.404,6004583,5606360,0.296,78.1,5.14,19
CORP-01644,Healthcare,France,2033,0.6847,3871583,0.456,1204097,963544,0.4765,104.1,7.67,36
CORP-00931,Financial Services,United Kingdom,2031,0.5679,8522992,0.4894,2748692,4305774,0.4499,85.3,7.05,32
CORP-02056,Financial Services,China,2026,0.3665,5956264,0.3974,1968196,1061346,0.3775,64.7,5.48,27
CORP-04289,Financial Services,Canada,2031,0.3978,3977918,0.3714,1587679,1516625,0.3348,45.8,6.79,32
CORP-07372,Logistics,Japan,2022,0.1024,1908275,0.1175,354093,132434,0.1078,16.4,4.33,17
CORP-04445,Financial Services,China,2031,0.5861,6827574,0.5004,2321033,3920040,0.4267,80.8,7.77,36
CORP-00240,Healthcare,France,2034,1.0,8299159,0.666,2452876,5104817,0.697,140.5,9.92,48
CORP-03246,Education,India,2027,0.713,724663,0.4398,190844,244831,0.5228,78.0,7.21,28
CORP-03887,Manufacturing,China,2030,0.6624,6473394,0.6109,1929530,2525902,0.515,102.2,7.72,34
CORP-01480,Healthcare,Netherlands,2026,0.7939,4398155,0.5063,1744383,1797854,0.5093,114.1,7.39,32
CORP-05025,Logistics,Germany,2034,0.5085,2972171,0.4545,897819,1349828,0.3854,57.3,7.4,40
CORP-07731,Technology,Sweden,2026,0.5867,10738571,0.4434,2647886,7181469,0.3714,94.6,6.54,27
CORP-00252,Retail,Netherlands,2025,0.5159,3012407,0.3574,1076640,1058928,0.3741,73.3,5.54,20
CORP-04683,Technology,Japan,2021,0.4397,3474453,0.3303,1397514,1466066,0.3411,50.3,5.14,16
CORP-00139,Telecom,United Kingdom,2023,0.3061,2301955,0.2186,511410,537806,0.2272,34.8,5.0,19
CORP-02482,Technology,Australia,2029,0.6031,11428161,0.4682,6529585,7468738,0.4282,79.4,7.28,33
CORP-02429,Technology,China,2026,0.3859,9281764,0.3801,7693988,19170389,0.3161,53.7,5.29,21
CORP-01454,Retail,United States,2035,1.0,4762643,0.7709,2682973,2557386,0.7883,155.9,9.76,51
CORP-00037,Technology,United States,2021,0.5352,5821378,0.4535,3419734,1254450,0.3928,96.6,6.32,22
CORP-04356,Technology,Germany,2024,0.4774,5586580,0.3512,3241861,3411214,0.333,39.8,5.49,20
CORP-07894,Financial Services,United States,2032,0.7476,11214824,0.5769,2494057,6508012,0.5684,123.4,8.09,41
CORP-04810,Financial Services,China,2026,0.2866,3919518,0.3005,1683688,810186,0.2685,43.6,5.78,23
CORP-01664,Healthcare,United Kingdom,2033,0.7557,3542651,0.5426,1438977,2668575,0.4927,142.8,8.82,45
CORP-05280,Retail,Japan,2021,0.4811,3184208,0.3538,1230727,1107790,0.3188,72.0,5.37,17
CORP-06041,Healthcare,Canada,2019,0.3471,4695121,0.2145,661779,1556874,0.186,43.5,5.24,16
CORP-07310,Retail,South Korea,2022,0.2728,1443316,0.2784,320064,226459,0.2524,34.2,4.38,16
CORP-06725,Technology,China,2016,0.1725,3138668,0.1895,1400005,418462,0.1737,18.6,2.8,9
CORP-06562,Manufacturing,Japan,2015,0.01,378174,0.0498,60721,38150,0.0522,5.7,1.87,5
CORP-03899,Logistics,Brazil,2030,0.5136,1082644,0.5382,334583,301845,0.4401,51.0,6.34,29
CORP-01535,Telecom,Canada,2022,0.2011,2448698,0.1748,475630,416431,0.1462,19.2,4.25,17
CORP-01310,Technology,China,2025,0.8327,10030818,0.735,4541787,6201719,0.6062,123.4,8.25,31
CORP-00153,Financial Services,UAE,2025,0.4456,6292682,0.3485,1368890,2173046,0.2907,66.8,5.37,21
CORP-05012,Healthcare,India,2017,0.01,302830,0.0,23516,20511,-0.0355,1.0,2.39,10
CORP-06699,Healthcare,China,2031,0.7865,5837609,0.5616,4903782,1731815,0.4732,106.3,8.69,42
CORP-02713,Retail,Sweden,2021,0.3174,1454199,0.2963,467804,514331,0.3317,44.6,4.77,17
CORP-03213,Manufacturing,UAE,2018,0.0451,1051844,0.0864,157189,129462,0.1027,1.0,2.94,10
CORP-00485,Energy,United States,2017,0.3006,5103203,0.3921,1094370,2746867,0.3367,35.3,4.83,14
CORP-06218,Manufacturing,France,2023,0.813,3114348,0.8105,1614742,1235720,0.6922,100.9,6.86,26
CORP-06722,Financial Services,China,2030,0.777,8356067,0.6535,4264046,3911194,0.5995,128.9,8.14,36
CORP-06190,Logistics,United States,2016,0.0861,1099077,0.0605,94001,-11834,0.0347,22.6,3.1,12
CORP-07749,Financial Services,Australia,2032,0.6967,11247933,0.6171,8000649,3067959,0.583,98.4,6.84,32
CORP-05071,Manufacturing,India,2015,0.3285,2408781,0.3495,640251,695199,0.3139,42.0,3.71,10
CORP-07377,Education,France,2016,0.1373,391359,0.0619,51941,53014,0.1304,14.2,2.58,7
CORP-04910,Telecom,China,2026,0.4645,3951906,0.3856,1770010,-780374,0.3655,80.8,6.26,28
CORP-02044,Logistics,Canada,2032,0.5205,2570295,0.4756,884612,1023498,0.4385,78.9,6.36,34
CORP-02070,Financial Services,Canada,2028,1.0,12146799,0.7986,5950824,9953803,0.7304,146.8,8.85,37
CORP-00161,Technology,United States,2034,0.7011,10285276,0.5648,9568225,7376659,0.5461,115.7,8.24,43
CORP-06967,Agriculture,France,2029,0.7458,1631789,0.6583,893238,756881,0.6233,96.6,7.78,35
CORP-02475,Healthcare,United Kingdom,2026,0.8045,5002227,0.5708,1964785,5580345,0.5647,134.3,8.14,34
CORP-07917,Telecom,China,2023,0.6679,6433768,0.555,2478318,2570510,0.4596,91.1,6.67,24
CORP-03679,Financial Services,Japan,2019,0.3055,5539395,0.3095,1683741,1796609,0.2971,34.7,4.51,14
CORP-05601,Financial Services,United States,2030,0.5297,3320711,0.4874,1499724,1647830,0.473,72.6,7.86,37
CORP-01215,Education,China,2026,0.6612,1529652,0.37,480820,431636,0.373,102.9,7.72,31
CORP-04704,Healthcare,United Kingdom,2020,0.377,3768907,0.1975,760333,953114,0.2833,61.7,5.02,19
CORP-07000,Manufacturing,Sweden,2021,0.8071,4847005,0.8057,1469109,2628896,0.583,134.6,6.57,22
CORP-04674,Technology,United States,2029,0.6012,8513100,0.4665,4605257,15970739,0.4339,103.1,7.76,35
CORP-06982,Healthcare,Australia,2026,0.5597,2989702,0.4016,822282,1256153,0.4544,79.0,6.55,29
CORP-00426,Manufacturing,United Kingdom,2026,0.7171,3867148,0.674,1654889,1714656,0.5389,118.2,7.27,29
CORP-05041,Financial Services,United Kingdom,2030,0.7861,14447512,0.7139,7443177,5021973,0.6897,121.4,8.02,35
CORP-04175,Financial Services,India,2030,0.6218,5664422,0.5806,2902216,3933462,0.4579,60.9,7.43,36
CORP-00240,Logistics,United States,2015,0.3387,2653307,0.354,601609,996049,0.3112,65.5,4.74,12
CORP-05235,Financial Services,United States,2023,0.5066,6528561,0.376,1424538,3205731,0.3124,85.6,6.35,22
CORP-06361,Education,Australia,2025,0.1117,490317,0.0634,147989,69539,0.0279,7.0,3.85,17
CORP-06092,Technology,United States,2022,0.585,4642323,0.4486,1804724,6775568,0.4274,85.2,6.13,21
CORP-06587,Retail,China,2027,0.4576,1683122,0.3586,558417,1078943,0.3455,65.2,6.23,26
CORP-05988,Manufacturing,Brazil,2033,0.9507,3548753,0.8876,1550509,1919688,0.8072,102.2,9.21,45
CORP-01800,Energy,Germany,2018,0.2678,5225801,0.2743,1130711,967078,0.2207,21.2,4.82,18
CORP-01219,Education,Japan,2025,0.6685,1010141,0.2792,210267,371889,0.3079,93.7,6.9,26
CORP-04645,Logistics,United Kingdom,2024,0.5323,2057588,0.5984,815869,803972,0.5549,105.0,6.56,25
CORP-06341,Healthcare,China,2020,0.5256,2840834,0.4034,1164864,1062208,0.3885,69.3,6.07,21
CORP-02833,Healthcare,France,2028,0.7697,5838683,0.4608,1653065,2994388,0.4989,104.8,7.21,32
CORP-00111,Logistics,Germany,2029,0.7564,4117583,0.6934,2407473,2240086,0.5455,115.0,7.35,32
CORP-05972,Agriculture,China,2028,0.4097,1113333,0.3129,210182,361297,0.2036,58.3,6.41,28
CORP-00269,Education,United States,2031,0.6435,623688,0.3108,88503,250591,0.3635,102.7,7.87,36
CORP-03763,Financial Services,United States,2027,0.7402,10027116,0.569,2823768,3075901,0.6059,130.9,6.68,28
